project;phase;type;question;answer
synapse-l4;Phase 6 — EventHorizon WebSocket Consumer;Pattern;Why is `asyncio.CancelledError` re-raised in the reconnection loop rather than caught and retried?;`CancelledError` means the task was cancelled by the caller (lifespan shutdown). Catching and retrying it would make the consumer impossible to stop gracefully. Every other exception is a transient failure worth retrying; `CancelledError` is an intentional termination signal.
synapse-l4;Phase 6 — EventHorizon WebSocket Consumer;Pattern;Why does a pipeline failure on one message not stop the consumer?;The consumer is a stream processor. EventHorizon sends hundreds of events — if one causes a `JudgeRejection`, the correct response is to log it, skip it, and process the next one. Crashing the consumer on a single bad event would require a full reconnect and potentially lose subsequent events during the gap.
synapse-l4;Phase 6 — EventHorizon WebSocket Consumer;Pattern;What would go wrong if the WebSocket consumer called `POST /ingest` over HTTP instead of calling pipeline functions directly?;It would depend on the HTTP server being up and reachable (localhost coupling), add latency for every event, and require a real server in consumer tests. The pipeline functions are importable independently — using them directly is simpler and correct.
synapse-l4;Phase 6 — EventHorizon WebSocket Consumer;Challenge;Why would `except Exception` in the reconnect loop accidentally give you graceful shutdown for free in Python 3.12?;It wouldn't — that's the point. `CancelledError` is `BaseException`, so it falls through `except Exception` and propagates up naturally. The explicit `except asyncio.CancelledError: raise` is documentation of intent: we know this signal exists, we're choosing to let it through, and we're not relying on accident of inheritance.
synapse-l4;Phase 5 — FastAPI Ingest Route;Pattern;Why mock `extract`, `judge`, and `emit` at the route level in tests rather than testing the full pipeline end-to-end?;Route tests verify the HTTP contract — correct status codes, correct error keys, correct response shape. If they tested the full pipeline, a failing LLM call would break a route test. Isolation means route tests are fast, deterministic, and don't require LLM credentials.
synapse-l4;Phase 5 — FastAPI Ingest Route;Pattern;Why are `ExtractionError` and `JudgeRejection` both 422 rather than different codes?;Both mean the pipeline could not produce a valid Axiom from the given input. From the caller's perspective, the remedy is the same: inspect the error, fix the input, retry. A 422 signals "unprocessable" — accurate for both. Giving them different codes would suggest different retry strategies where none exist.
synapse-l4;Phase 5 — FastAPI Ingest Route;Decision;Where is the structured error envelope actually consumed, and why does the shape matter?;By any client hitting `POST /ingest` — primarily Sentinel-L7. A client can branch on `body["error"] == "judge_rejected"` vs `"extraction_failed"` without parsing a nested string. `HTTPException` would wrap the body under `{"detail": {...}}`, forcing callers to unwrap one extra layer. The WebSocket consumer (Phase 6) bypasses HTTP entirely and calls the pipeline functions directly — it never sees these responses.
synapse-l4;Phase 4 — Emitter + Sentinel-L7 Client;Pattern;Why is `emitted_at` stamped in the Emitter rather than earlier in the pipeline?;`emitted_at` is a timestamp of when the validated Axiom was *delivered* to Sentinel-L7 — not when it was extracted or judged. The time between extraction and emission is non-trivial (Judge pass, potential retries). Stamping it at extraction time would produce a timestamp Sentinel-L7 can't trust as a delivery marker.
synapse-l4;Phase 4 — Emitter + Sentinel-L7 Client;Pattern;What is idempotent emission and why does it matter for a microservice pipeline?;Idempotent emission means delivering the same Axiom multiple times has the same effect as delivering it once. In a distributed system, retries are inevitable — networks fail, timeouts occur. Without deduplication keys (`source_id` + `emitted_at`), a retry would insert a duplicate record in Sentinel-L7. The Axiom carries its own identity so the receiver can make delivery safe.
synapse-l4;Phase 4 — Emitter + Sentinel-L7 Client;Pattern;Why use `respx` in `sentinel_test.py` rather than mocking `SentinelClient` directly?;`sentinel_test.py` tests the HTTP contract — that the correct URL is called, the correct payload is sent, and non-2xx responses raise `EmitError`. These are questions about the HTTP layer, not the pipeline. Mocking `SentinelClient` entirely would skip verifying that the client actually makes the right HTTP call.
synapse-l4;Phase 4 — Emitter + Sentinel-L7 Client;Challenge;Why must `respx` be activated before the `httpx.AsyncClient` is created?;`respx.mock` patches at the transport level — it intercepts requests made through `httpx.AsyncClient`. If the client is constructed before `respx.mock` is entered (e.g., as a class-level fixture), the mock has no effect and the test makes a real HTTP call. All `SentinelClient` tests that use `respx` must construct the client inside the `respx.mock` context.
synapse-l4;Phase 3 — Judge Pass + Business Rules;Pattern;Why is the Judge a separate stage rather than being embedded inside Instructor's retry loop via Pydantic validators?;Instructor retries when the LLM can't conform to the schema. Business rule violations are often not recoverable by retrying with the same input — they indicate ambiguous telemetry. Retrying wastes tokens. A separate Judge stage also produces a distinct error type (`JudgeRejection` vs. `ExtractionError`), making the failure reason unambiguous in logs and API responses.
synapse-l4;Phase 3 — Judge Pass + Business Rules;Pattern;What does the rule registry pattern enable that a long `if/elif` chain inside `judge()` does not?;Each rule is independently testable in isolation. New rules can be added without touching `judge.py`. The registry is readable as a list — rule ordering is explicit and auditable. An `if/elif` chain grows without bound and mixes concerns (rule logic with orchestration logic).
synapse-l4;Phase 3 — Judge Pass + Business Rules;Pattern;When would you change fail-fast to collect-all violations?;When the caller needs to fix all errors in one round-trip — e.g. a form validation UX. In a machine-to-machine pipeline like this one, the caller (Synapse-L4 API) returns a 422 and the LLM re-runs. Knowing there are two violations rather than one doesn't change that outcome.
synapse-l4;Phase 3 — Judge Pass + Business Rules;Decision;Why does `metric_value_finite` run before `anomaly_score_status_consistency`?;Structural validity before semantic consistency. You can't meaningfully ask "does this number's magnitude match the status?" if the number is NaN — the draft is already broken before business logic applies. Verifying a value is finite confirms it's a real measurement before checking what that measurement implies.
synapse-l4;Phase 3 — Judge Pass + Business Rules;Challenge;Why doesn't a `float` field in Pydantic v2 reject `NaN` or `Infinity`?;Pydantic validates Python types, not JSON-serialisability. `NaN` and `Infinity` are legal IEEE 754 floats in Python. JSON serialisation (`json.dumps`) rejects them because the JSON spec has no representation for them. The validation gap sits between the two layers — Pydantic's type system and the wire format — which is why a business rule in the Judge is the right place to close it.
synapse-l4;Phase 3 — Judge Pass + Business Rules;Challenge;What failure mode does `extra="forbid"` on `AxiomDraft` prevent?;An LLM hallucinating or being prompted to include `source_id` or `emitted_at` in its structured output — overwriting pipeline-assigned provenance with unverified values. `extra="forbid"` raises `ValidationError` on any field not explicitly declared on `AxiomDraft`, making the model's contract explicit and tamper-resistant.
synapse-l4;Phase 2 — AxiomDraft Model + Extractor Node;Pattern;Why does `AxiomDraft` not include `source_id` or `emitted_at`?;`source_id` is already known with certainty from `RawTelemetry` — asking the LLM to echo it back introduces a trust gap. `emitted_at` doesn't exist yet at extraction time; it's stamped at delivery. Letting the LLM set either would mean trusting a probabilistic model with data the pipeline already holds deterministically.
synapse-l4;Phase 2 — AxiomDraft Model + Extractor Node;Pattern;Why is the Instructor client constructed lazily (`_default_client()`) rather than at module import time?;Module-level client construction runs `OPENAI_API_KEY` validation at import. Any test that imports the extractor would require a valid API key in the environment, even tests that never make a real LLM call. Lazy construction keeps tests self-contained and fast.
synapse-l4;Phase 2 — AxiomDraft Model + Extractor Node;Pattern;What does `raise ExtractionError(...) from exc` do that `raise ExtractionError(...)` alone does not?;It sets `__cause__` on the new exception, explicitly linking it to the original. Python's traceback renderer prints both. Without it, the original exception is lost — you see `ExtractionError` in logs but not the underlying `APIConnectionError` that caused it.
synapse-l4;Phase 2 — AxiomDraft Model + Extractor Node;Challenge;What happens if you pass `source_id` to `AxiomDraft` without `extra="forbid"`?;Pydantic v2 silently ignores the unknown field by default. The model constructs successfully — the test would pass for the wrong reason. `extra="forbid"` makes the model actively reject unknown fields with a `ValidationError`.
synapse-l4;Phase 2 — AxiomDraft Model + Extractor Node;Decision;Why not just make `source_id` and `emitted_at` optional on `Axiom` instead of creating `AxiomDraft`?;Optional fields mean the Emitter could accidentally emit an `Axiom` with `source_id=None`. The type system cannot tell the difference between "draft Axiom awaiting promotion" and "complete Axiom ready for emission". Separate types make the pipeline stage contract explicit — `AxiomDraft` in, `Axiom` out.
synapse-l4;Phase 1 — Project Scaffold + Axiom Contract;Pattern;Why define `Axiom` in Phase 1 before any pipeline code exists?;Because every pipeline stage (Extract, Judge, Emit) depends on the same type. If each stage defined its own shape, schema drift between stages would be inevitable — and likely silent. `models/axiom.py` as the single source of truth prevents this class of bug structurally.
synapse-l4;Phase 1 — Project Scaffold + Axiom Contract;Pattern;Why is fail-fast configuration better than catching missing config at request time?;A service that starts but fails on the first request looks like a runtime bug. A service that refuses to start with a clear "field: sentinel_l7_url — field required" message is immediately debuggable. Fail-fast makes the deployment contract explicit.
synapse-l4;Phase 1 — Project Scaffold + Axiom Contract;Pattern;What is the difference between `frozen=True` in Pydantic and just not mutating the object by convention?;Convention is not enforced. Any function that receives an `Axiom` can mutate it, silently corrupting the verified state before emission. `frozen=True` raises `ValidationError` at the point of mutation — the error is immediate, located, and unambiguous. The type system enforces the invariant; documentation cannot.
synapse-l4;Phase 1 — Project Scaffold + Axiom Contract;Pattern;Why model pipeline errors as typed exception classes instead of returning result tuples like `(Axiom | None, str | None)`?;Result tuples require the caller to check a condition before using the value — and nothing enforces that check. A typed exception propagates through the call stack automatically and carries structured data. The distinction between `JudgeRejection` and `ExtractionError` at the API layer is only possible because they are different types.
synapse-l4;Phase 1 — Project Scaffold + Axiom Contract;Anti-Pattern;Name the failure mode that `frozen=True` prevents.;A pipeline stage downstream of the Judge mutates the Axiom (e.g., adds a computed field, normalises a value) and emits the modified object. The Judge never evaluated the mutated state. Sentinel-L7 receives data that was never validated. `frozen=True` makes this physically impossible.
synapse-l4;Phase 1 — Project Scaffold + Axiom Contract;Decision;Why does `POST /ingest` accept `RawTelemetry` rather than `Axiom`?;If the route accepted a fully-typed `Axiom`, the pipeline would be reduced to a pass-through — EventHorizon would have to pre-validate the data that Synapse-L4 exists to validate. The whole point of Synapse-L4 is the transformation from unstructured → structured. The entry point must accept unstructured input.
EventHorizon;Phase 1 — Foundation;Pattern;What does "Fail-Fast" mean in the context of application startup?;Validate all configuration and external inputs at the earliest boundary. If anything is invalid, crash immediately with a clear error rather than allowing corrupted state to propagate deeper into the system.
EventHorizon;Phase 1 — Foundation;Pattern;Why is `Number(process.env.PORT) || 3000` dangerous?;`Number("not-a-number")` returns `NaN`, which is falsy, so the default kicks in silently. You get no error and no indication the env var was malformed. Zod's `z.coerce.number()` + `safeParse` reports the exact field and reason.
EventHorizon;Phase 1 — Foundation;Pattern;What is a discriminated union and what problem does it solve?;A type that can be one of several shapes, distinguished by a shared literal field. It allows the type system to narrow to the correct shape when you check the discriminant field, eliminating the need for type casts and enabling exhaustive checks.
EventHorizon;Phase 1 — Foundation;Pattern;What is the discriminant field in EventHorizon's event schema?;The `"type"` field — a string literal `"pipeline" | "sensor" | "app"`. Zod's `z.discriminatedUnion("type", [...])` uses it to pick the correct schema during parse.
EventHorizon;Phase 1 — Foundation;Pattern;Why do we use `z.infer<typeof Schema>` instead of writing TypeScript interfaces manually?;`z.infer<>` derives the TypeScript type directly from the Zod schema, so they can never drift apart. A hand-written interface can silently diverge from its schema — the compiler won't catch it because they're separate declarations.
EventHorizon;Phase 1 — Foundation;Challenge;Why did adding `@types/node` to tsconfig `types` not fix the `process` not found error in TypeScript 6 + NodeNext?;TypeScript 6 + NodeNext treats files with imports/exports as ES modules. `@types/node` v25 declares globals inside `declare global {}` blocks, which only apply in ambient (non-module) context. The fix is an ambient declaration file (`global.d.ts`) with no imports/exports that has `/// <reference types="node" />`.
EventHorizon;Phase 1 — Foundation;Anti-Pattern;Why is `"lib": ["ES2022", "dom"]` a bad fix for missing `process` and `console` in a Node.js TypeScript project?;Adding `dom` imports the browser's type universe — `window`, `document`, `localStorage` etc. all typecheck silently. This is the Leaky Abstraction anti-pattern: the compiler can no longer catch accidental browser API usage in server code.
EventHorizon;Phase 2 — Server skeleton + Ingestion route;Pattern;What is the difference between London-school and Detroit-school TDD?;London-school (mockist) isolates each unit with mocks for its collaborators. Detroit-school (classicist) uses real implementations wherever possible, only mocking true external systems. London-school suits top-down builds; Detroit-school suits bottom-up.
EventHorizon;Phase 2 — Server skeleton + Ingestion route;Pattern;Why does the ingestion route return `202 Accepted` instead of `200 OK`?;202 means "received and handed off for async processing." 200 implies the work is complete. The event has only been queued — it hasn't been processed or stored yet.
EventHorizon;Phase 2 — Server skeleton + Ingestion route;Pattern;Where is the validation boundary in EventHorizon, and what does it guarantee?;`event.routes.ts` — the POST /events handler. It guarantees that any `AppEvent` value flowing into RabbitMQ or beyond has passed Zod schema validation. No downstream code needs to re-validate.
EventHorizon;Phase 2 — Server skeleton + Ingestion route;Challenge;Why did `"00000000-0000-0000-0000-000000000001"` fail Zod 4's UUID validator but would have passed Zod 3?;Zod 4 enforces RFC 4122 — the version nibble must be `1–8`. This UUID has version `0`, which is invalid. Zod 3 only checked the format (8-4-4-4-12 hex), not the version nibble. Always use a real v4 UUID in test fixtures.
EventHorizon;Phase 2 — Server skeleton + Ingestion route;Challenge;Why might `node --version` return v12 even though NVM default is set to v24?;NVM's default is applied by sourcing `~/.nvm/nvm.sh` via `.bash_profile`. Non-login shells (subprocesses, some terminal emulators) don't source `.bash_profile`, so the system Node takes precedence.
EventHorizon;Phase 3 — Processing Plane: RabbitMQ topology + publishEvent;Pattern;What three things must be true for a RabbitMQ message to survive a broker restart?;The exchange must be `durable: true`, the queue must be `durable: true`, and each message must be published with `persistent: true`. All three are required — any one missing means messages are lost on restart.
EventHorizon;Phase 3 — Processing Plane: RabbitMQ topology + publishEvent;Pattern;What does `channel.assertQueue()` do if the queue already exists?;It's a no-op if the arguments match exactly. If the arguments differ (e.g. the queue was declared without a DLX, now you're asserting one with a DLX), RabbitMQ throws `406 PRECONDITION_FAILED`. Safe to call on every startup; dangerous to change arguments on a live queue.
EventHorizon;Phase 3 — Processing Plane: RabbitMQ topology + publishEvent;Pattern;What happens in Node.js if an `'error'` event is emitted on an EventEmitter and no listener is registered?;Node.js throws the error as an uncaught exception, crashing the process. All `amqplib` Connection and Channel objects are EventEmitters — you must register `.on('error', handler)` on both, or a broker-side disconnect will crash the server.
EventHorizon;Phase 3 — Processing Plane: RabbitMQ topology + publishEvent;Anti-Pattern;Why is a module-level `await amqp.connect(...)` at the top of `queue.ts` an anti-pattern?;Top-level await runs on import, before mocks can be installed and regardless of test context. Any file that imports `queue.ts` will attempt a real network connection. The fix is to export a `connectQueue()` function — the module is inert on import, the caller controls when the connection is established.
EventHorizon;Phase 3 — Processing Plane: Worker + Processors;Pattern;How does RabbitMQ distribute messages across multiple consumers of the same queue?;Round-robin: each new message is delivered to the next consumer in rotation. Combined with `prefetch`, this ensures no single consumer is overwhelmed — the broker only delivers up to `prefetch` unacknowledged messages per consumer.
EventHorizon;Phase 3 — Processing Plane: Worker + Processors;Anti-Pattern;What is AMQP `basic.qos` / `channel.prefetch()` and why is it non-negotiable for production consumers?;It caps the number of unacknowledged messages the broker delivers to a single consumer. Without it, the broker floods one consumer with the entire queue. With it, messages are distributed proportionally to each consumer's ack rate — faster workers naturally receive more messages.
EventHorizon;Phase 3 — Processing Plane: Worker + Processors;Anti-Pattern;Why is `nack(msg, false, true)` (requeue=true) dangerous for retry logic?;It puts the failed message at the front of the queue (head-of-line blocking). A poison message that always fails will starve all other messages. The correct pattern is to ack the original and republish to the back of the queue with a retry counter in the headers.
EventHorizon;Phase 3 — Processing Plane: Worker + Processors;Pattern;Why does the worker ack AFTER writing to MongoDB, not before?;Acking before the write is "at-most-once" delivery: if the process crashes after the ack but before the write, the message is permanently lost — the broker thinks it was handled. Acking after the write is "at-least-once": a crash before the ack causes redelivery, and the idempotent insert absorbs the duplicate.
EventHorizon;Phase 3 — Processing Plane: Worker + Processors;Decision;Can a publisher and consumer share an AMQP connection?;Technically yes (AMQP multiplexes channels over one connection), but in practice they shouldn't when they're separate OS processes — they can't share in-memory objects. Even in the same process, separating connections isolates error domains: a publisher channel error won't affect in-flight consumer acks.
EventHorizon;Phase 3 — Processing Plane: Worker + Processors;Pattern;What does it mean for a function to be "pure" and why does it matter for a data pipeline?;A pure function has no side effects and returns the same output for the same input. In a pipeline, pure processors are trivially unit-testable (no mocks), composable (can be chained freely), and debuggable (reproduce any bug with a single function call and a fixture event).
EventHorizon;Phase 3 — Storage Plane;Pattern;Why does `saveEvent()` only swallow MongoDB error code 11000 — what's wrong with catching all `MongoServerError`?;A duplicate key (11000) is a known-safe condition — the event was already persisted on a prior delivery. All other `MongoServerError` types (auth failure, disk full, network drop) represent genuine write failures. Swallowing them would ack the message as if it succeeded, permanently losing it. Only catching 11000 means the Idempotent Receiver absorbs expected duplicates while real errors bubble up to the worker's retry/dead-letter logic.
EventHorizon;Phase 3 — Storage Plane;Pattern;Why must the worker connect to MongoDB *before* connecting to RabbitMQ?;If RabbitMQ connected first, the worker would start consuming messages before knowing whether it can persist them. A MongoDB failure at that point would cause acked messages to be lost. Connecting MongoDB first means a failed startup leaves messages safely in the broker queue — at-least-once delivery is preserved.
EventHorizon;Phase 3 — Storage Plane;Anti-Pattern;In the dead-letter path, why is `saveFailedEvent()` wrapped in `.catch()` instead of a try/catch block around both it and `ch.nack()`?;If `saveFailedEvent()` throws and the exception propagates, `ch.nack()` never runs. The message stays unacknowledged, blocking the prefetch window — head-of-line blocking. `.catch()` ensures the nack always fires regardless of MongoDB's availability. The MongoDB record is observability-only; the routing decision must be unconditional.
EventHorizon;Phase 3 — Storage Plane;Pattern;Why must `saveEvent()` be called before `ch.ack()`? What happens if you flip the order?;`ack` tells the broker to permanently delete the message. If you ack first and the write then fails, the message is gone — no retry, no dead-letter, permanently lost. Saving first means a failed write leaves the message unacknowledged, so the catch block can retry or dead-letter it. The Idempotent Receiver (unique index on `raw.id`) handles the case where the write succeeds but the ack is lost, causing redelivery — the second insert is a silent no-op.
EventHorizon;Phase 3 — Storage Plane;Anti-Pattern;Why is `event` declared as `let event: AppEvent | undefined` before the try block instead of `const event` inside it?;`const` inside a try block is scoped to that block — unreachable in catch. The dead-letter path needs to call `saveFailedEvent(event)`, but only if we successfully parsed a valid event (parsing failure means there's nothing to save). Hoisting with `let event: AppEvent | undefined` and guarding with `if (event !== undefined)` solves both the scope problem and the parsing-failure case.
EventHorizon;Phase 4 — Observation Plane;Pattern;Why can't you open a change stream on a standalone MongoDB instance?;Change streams are built on the oplog — a capped collection that records every write operation, used for replication. A standalone instance has no replication and therefore no oplog. The `$changeStream` aggregation stage requires the oplog to exist, so MongoDB rejects it on standalone with a `MongoServerError`. Running as a single-node replica set (`--replSet rs0`) adds the oplog without requiring multiple nodes.
EventHorizon;Phase 4 — Observation Plane;Pattern;What does `directConnection=true` fix in a docker-compose MongoDB setup?;When a MongoDB replica set member reports itself to the driver during topology discovery, it uses its container hostname (e.g. `eventhorizon-mongo`), not `localhost`. The driver then tries to connect to that hostname, which isn't reachable from the host machine. `directConnection=true` tells the driver to skip topology discovery and connect directly to the URI's host (`localhost:27017`). Change streams still work because the node is a replica set member with an oplog.
EventHorizon;Phase 4 — Observation Plane;Pattern;How does the broadcast function handle a client that errors mid-send?;`socket.send()` is wrapped in a try/catch per client. If it throws, the client is removed from the Map and the loop continues to the next client. A single bad client never blocks the fan-out to the rest.
EventHorizon;Phase 4 — Observation Plane;Anti-Pattern;Why use `Map<WebSocket, boolean>` instead of `Set<WebSocket>` for tracking clients?;Fan-out only needs a Set — iterate and send. But zombie detection requires per-client state: "did this client respond to the last ping?" A Map stores both the socket and the `isAlive` flag in one structure. A Set would require a separate `Map<WebSocket, boolean>` anyway.
EventHorizon;Phase 4 — Observation Plane;Pattern;What does `heartbeat.unref()` do and why does it matter?;`setInterval` keeps the Node.js event loop alive as long as it's running. If the server is shutting down and all other handles (HTTP, WebSocket, MongoDB) are closed, the event loop would still block waiting for the next heartbeat tick. `.unref()` marks the timer as "background" — it fires normally while other handles are active, but won't prevent the process from exiting when everything else has closed.
EventHorizon;Phase 4 — Observation Plane;Decision;Why is the change stream wired into the server process rather than the worker process, even though the worker is the one writing to MongoDB?;The worker and server are separate OS processes with no shared memory. `broadcast()` holds live WebSocket client sockets that only exist in the server process — the worker can't call it. MongoDB acts as the decoupling boundary: the worker writes, the oplog records it, the server's change stream picks it up and fans out to clients. Putting the change stream in the worker would require a new IPC channel to reach the server's sockets — re-inventing a message bus that MongoDB's oplog already provides for free.
EventHorizon;Phase 6 — Bug Fix: Zod v4 UUID Validation;Challenge;Zod v4 rejects `00000000-0000-0000-0000-000000000001` as a UUID. Why?;RFC 4122 requires the 3rd group's leading nibble to be `[1-8]` (version) and the 4th group's leading nibble to be `[89abAB]` (variant). `00000000-0000-0000-0000-000000000001` has `0` in both positions. Zod v4 validates these bits strictly. Zod v3 accepted any UUID-shaped string. The only special-cased all-zero UUID is the exact nil UUID `00000000-0000-0000-0000-000000000000`.
EventHorizon;Phase 6 — Bug Fix: Zod v4 UUID Validation;Challenge;A worker test fails because `saveEvent` was never called, but your mock setup looks correct. What should you check first?;Check what happens *before* `saveEvent` is reached — specifically, whether the input passes schema validation. If Zod throws, the worker short-circuits and `saveEvent` is never invoked. The assertion failure ("called 0 times") looks like a mock problem but is actually an upstream parse failure. Always read the stderr output alongside the assertion failures.
EventHorizon;Phase 7 — Concepts: Node.js Event Loop Handle Ref-Counting;Pattern;What does `timer.unref()` do in Node.js?;It marks the timer as a background handle. It fires normally while other ref'd handles (sockets, I/O, other timers) are active, but it won't prevent the process from exiting when everything else has closed. The opposite, `timer.ref()`, re-registers it as a handle that keeps the event loop alive.
EventHorizon;Phase 7 — Concepts: Node.js Event Loop Handle Ref-Counting;Pattern;Why do the metrics interval and WebSocket heartbeat both call `.unref()`?;Both are maintenance timers — they serve the system while it's running but shouldn't own the process lifecycle. Without `.unref()`, they'd keep the event loop alive after all real work (HTTP, MongoDB, AMQP) has been shut down, preventing natural process exit. They're background workers, not owners.
EventHorizon;Phase 8 — Bug Fix: Credentials in fetch URLs;Challenge;Why does `fetch('http://user:pass@host/path')` throw in Node.js 18+?;The Fetch spec explicitly forbids credentials in URLs — they leak into logs, `Referer` headers, and browser history. Node's native fetch enforces this. The fix is to parse the URL with `new URL()`, extract `username` and `password`, and send `Authorization: Basic <base64(user:pass)>` as a header instead.
EventHorizon;Phase 8 — Bug Fix: Credentials in fetch URLs;Challenge;You set a config var like `RABBITMQ_MANAGEMENT_URL=http://guest:guest@localhost:15672`. It works in your shell with `curl` but breaks with `fetch`. Why?;`curl` predates the Fetch spec and happily accepts credentials in URLs. Node's native `fetch` (and browsers) implement the Fetch spec which bans them for security. Same URL, different client, different behaviour — always test HTTP calls with the actual client your code uses.
EventHorizon;Phase 9 — Change Stream Resume Token Recovery;Pattern;What is a MongoDB change stream resume token?;The `_id` field on every change stream event. It encodes the cursor's position in the replica set oplog. Pass it as `{ resumeAfter: token }` when reopening the stream to replay any events you missed since the cursor died.
EventHorizon;Phase 9 — Change Stream Resume Token Recovery;Pattern;Why does `countDocuments` survive a MongoDB restart but a change stream doesn't?;`countDocuments` creates a fresh connection and query on each call — the driver handles reconnection transparently. A change stream is a long-lived cursor pinned to an oplog position. When the cursor is invalidated, you must explicitly reopen it. There is no automatic reconnection for cursors.
EventHorizon;Phase 9 — Change Stream Resume Token Recovery;Anti-Pattern;The server is running, ping/pong is working, stats are updating — but no events appear in the feed. What's the most likely cause?;The change stream cursor died and was never restarted. Stats use `countDocuments` which reconnects automatically; the change stream cursor does not. Check server logs for `[changeStream] error` or `[changeStream] fatal error`. Restarting the server reopens the cursor.
EventHorizon;Phase 9 — Change Stream Resume Token Recovery;Decision;Your change stream recovery uses an in-memory resume token. What events does it protect against, and what does it not protect against?;It protects against transient cursor failures during a running server — MongoDB restarts, network blips, RS elections. It does not protect against a full server restart (the token is lost with the process). To survive server restarts, persist the token to disk or a key-value store and load it at startup.
EventHorizon;Phase 9 — Change Stream Resume Token Recovery;Challenge;You add a retry timer with `setTimeout`. The server shuts down while the timer is pending. What happens and how do you fix it?;The timer fires after MongoDB closes. `open()` calls `getDb()` on a dead connection. Fix: store the timer reference, set a `shuttingDown` flag before teardown, `clearTimeout` the pending timer, then close the stream. The flag prevents the error handler from scheduling new timers if the stream closes during shutdown.
EventHorizon;Phase 9 — Change Stream Resume Token Recovery;Decision;The resume token is updated *before* calling `onInsert`. If the server crashes between those two lines, what delivery guarantee applies to WebSocket broadcasts — and why is that acceptable?;At-most-once. The token has already advanced past the event, so `resumeAfter: lastToken` on restart skips it. That event is never broadcast. It's acceptable because the observation plane is a live-view overlay, not the source of truth. The event is already durably stored in MongoDB — written by the worker, ack'd, append-only. A missed broadcast means one event doesn't appear in the feed for that window. No data is lost.
